from	to	Correlation	p-Value
U::X - 12270	U::X - 12379	0.049282793	2.18E-08
P::citrulline	U::X - 12386	0.052632648	2.26E-09
U::N-acetylarginine	U::X - 12386	0.067355546	1.95E-14
U::X - 12124	U::X - 12386	0.057546921	6.29E-11
U::X - 12125	U::X - 12386	0.072144486	2.22E-16
P::caprate (10:0)	U::X - 12398	0.050124531	1.25E-08
P::caprylate (8:0)	U::X - 12398	0.055997078	2.01E-10
U::octanoylcarnitine	U::X - 12398	0.051749025	4.17E-09
P::3-indoxyl sulfate	U::X - 12405	0.076343259	2.22E-16
P::X - 12405	U::X - 12405	0.06308948	7.64E-13
U::3-indoxyl sulfate	U::X - 12405	0.095328434	2.22E-16
P::X - 12407	U::X - 12407	0.085836627	2.22E-16
P::X - 13727	U::X - 12410	0.053656864	1.10E-09
P::X - 12411	U::X - 12411	0.124210089	2.22E-16
U::alpha-CEHC glucuronide*	U::X - 12435	0.151441192	2.22E-16
U::acetylcarnitine	U::X - 12465	0.059757776	1.14E-11
U::propionylcarnitine	U::X - 12465	0.057412804	6.97E-11
P::X - 12510	U::X - 12510	0.079456398	2.22E-16
P::X - 12511	U::X - 12510	0.072439229	2.22E-16
P::X - 12510	U::X - 12511	0.094809855	2.22E-16
P::X - 12511	U::X - 12511	0.088214585	2.22E-16
U::X - 12510	U::X - 12511	0.070254219	1.33E-15
P::3-hydroxyhippurate	U::X - 12543	0.083876844	2.22E-16
U::3-hydroxyhippurate	U::X - 12543	0.154321523	2.22E-16
U::homocitrulline	U::X - 12565	0.110829345	2.22E-16
U::X - 11357	U::X - 12565	0.082121074	2.22E-16
U::3-aminoisobutyrate	U::X - 12602	-0.085909843	2.22E-16
U::X - 12097	U::X - 12602	0.096215931	2.22E-16
U::X - 12117	U::X - 12602	0.147140959	2.22E-16
U::X - 12173	U::X - 12602	0.084671334	2.22E-16
U::X - 12636	U::X - 12637	0.113641805	2.22E-16
U::X - 12007	U::X - 12680	0.050159797	1.22E-08
U::X - 12113	U::X - 12680	0.060079595	8.80E-12
U::X - 12187	U::X - 12680	0.110576061	2.22E-16
U::X - 12379	U::X - 12680	0.064085122	3.32E-13
U::tryptophan betaine	U::X - 12681	0.05604982	1.94E-10
U::X - 11668	U::X - 12681	0.072454718	2.22E-16
U::X - 12339	U::X - 12681	0.103455482	2.22E-16
U::X - 11390	U::X - 12685	0.053077875	1.66E-09
U::X - 12216	U::X - 12687	0.049082845	2.49E-08
P::X - 03056	U::X - 12688	0.064662497	2.03E-13
U::X - 03056	U::X - 12688	0.087865122	2.22E-16
U::5-oxoproline	U::X - 12695	0.055322963	3.31E-10
U::orotidine	U::X - 12695	0.053444802	1.28E-09
U::3,4-dihydroxyphenylacetate	U::X - 12696	0.102633304	2.22E-16
U::homovanillate (HVA)	U::X - 12696	0.129090702	2.22E-16
U::X - 12007	U::X - 12701	0.089434394	2.22E-16
U::X - 12113	U::X - 12701	0.107009035	2.22E-16
U::X - 12411	U::X - 12701	0.066509406	4.13E-14
P::X - 12216	U::X - 12705	0.049536909	1.85E-08
U::X - 12126	U::X - 12705	0.102830781	2.22E-16
U::X - 12216	U::X - 12705	0.07576886	2.22E-16
P::X - 12407	U::X - 12706	0.052561716	2.38E-09
U::X - 12407	U::X - 12706	0.072030938	2.22E-16
P::X - 11593	U::X - 12708	0.061323117	3.25E-12
U::X - 11593	U::X - 12708	0.107636775	2.22E-16
U::X - 12257	U::X - 12712	-0.048809503	2.98E-08
U::X - 12258	U::X - 12712	0.052954167	1.81E-09
U::X - 12707	U::X - 12713	0.065164684	1.32E-13
U::X - 12024	U::X - 12714	0.111511102	2.22E-16
U::X - 12113	U::X - 12714	0.055649176	2.60E-10
P::4-hydroxyphenylacetate	U::X - 12715	0.074272728	2.22E-16
U::4-hydroxyphenylacetate	U::X - 12715	0.135861576	2.22E-16
U::X - 12028	U::X - 12715	0.048606702	3.39E-08
P::3-indoxyl sulfate	U::X - 12718	0.0551597	3.73E-10
U::3-indoxyl sulfate	U::X - 12718	0.063367491	6.06E-13
U::X - 12126	U::X - 12718	0.04976951	1.59E-08
U::X - 12216	U::X - 12718	0.051526277	4.86E-09
U::X - 12405	U::X - 12718	0.06309239	7.63E-13
U::X - 12705	U::X - 12718	0.060608033	5.78E-12
U::X - 12712	U::X - 12722	0.078590717	2.22E-16
U::X - 12329	U::X - 12730	0.052396702	2.67E-09
P::X - 12740	U::X - 12732	0.067114586	2.44E-14
U::alanylalanine	U::X - 12733	0.053498448	1.23E-09
U::3-methyl catechol sulfate 1	U::X - 12738	0.063176817	7.11E-13
U::X - 12039	U::X - 12738	0.055695786	2.52E-10
P::X - 12740	U::X - 12740	0.120766636	2.22E-16
U::X - 12732	U::X - 12740	0.102913067	2.22E-16
P::indoleacetate	U::X - 12745	0.105592877	2.22E-16
U::5-methylthioadenosine (MTA)	U::X - 12745	-0.055235105	3.53E-10
U::ethanolamine	U::X - 12745	0.051798239	4.04E-09
U::indoleacetylglutamine	U::X - 12745	0.057293315	7.63E-11
U::N-acetyl-aspartyl-glutamate (NAAG)	U::X - 12748	0.066701287	3.51E-14
P::X - 11423	U::X - 12749	0.084501824	2.22E-16
P::X - 12119	U::X - 12753	0.069816724	2.22E-15
U::1-kestose	U::X - 12753	0.059063715	1.96E-11
U::X - 12107	U::X - 12753	0.067371292	1.93E-14
U::X - 12119	U::X - 12753	0.140276285	2.22E-16
U::X - 12122	U::X - 12760	0.048424105	3.82E-08
P::pantothenate	U::X - 12762	0.062228949	1.56E-12
U::pantothenate	U::X - 12762	0.081248882	2.22E-16
U::phenylalanine	U::X - 12799	0.061247848	3.46E-12
U::adipate	U::X - 12802	0.069527464	2.66E-15
U::N-methylglutamate	U::X - 12812	0.064130271	3.20E-13
U::X - 12193	U::X - 12814	0.052570715	2.36E-09
U::3,5-dihydroxybenzoic acid	U::X - 12818	0.057056374	9.12E-11
U::X - 12258	U::X - 12818	0.07135187	4.44E-16
U::X - 12712	U::X - 12818	0.05498833	4.22E-10
U::X - 12722	U::X - 12818	0.103791016	2.22E-16
U::hexanoylglycine	U::X - 12819	0.059459944	1.44E-11
U::X - 12742	U::X - 12819	0.051775753	4.10E-09
U::X - 12813	U::X - 12821	0.152479541	2.22E-16
P::X - 12822	U::X - 12822	0.10039001	2.22E-16
U::hexanoylglycine	U::X - 12824	0.052619178	2.29E-09
U::X - 12636	U::X - 12824	0.065510441	9.84E-14
U::X - 12637	U::X - 12824	0.067440073	1.82E-14
U::X - 12742	U::X - 12824	0.073680276	2.22E-16
U::X - 12802	U::X - 12824	0.054722422	5.12E-10
U::X - 12680	U::X - 12828	0.049142877	2.39E-08
U::X - 12814	U::X - 12831	0.093658608	2.22E-16
P::piperine	U::X - 12832	0.066726184	3.42E-14
P::X - 11452	U::X - 12832	0.069260355	3.55E-15
P::X - 12231	U::X - 12832	0.069304631	3.55E-15
U::X - 01911	U::X - 12832	0.062460729	1.29E-12
U::X - 11452	U::X - 12832	0.079840766	2.22E-16
U::X - 11485	U::X - 12832	0.058460244	3.12E-11
U::X - 12231	U::X - 12832	0.082024356	2.22E-16
U::X - 12730	U::X - 12833	0.056700998	1.19E-10
U::X - 12267	U::X - 12834	0.051992271	3.53E-09
U::X - 12270	U::X - 12834	0.114387431	2.22E-16
U::X - 12379	U::X - 12834	0.051951775	3.63E-09
P::piperine	U::X - 12840	0.059333018	1.59E-11
P::X - 11452	U::X - 12840	0.056492517	1.39E-10
P::X - 12231	U::X - 12840	0.059502509	1.39E-11
U::X - 11452	U::X - 12840	0.066759739	3.33E-14
U::X - 12231	U::X - 12840	0.066119854	5.82E-14
U::X - 12832	U::X - 12840	0.076267097	2.22E-16
P::X - 12844	U::X - 12844	0.067637408	1.53E-14
P::X - 17336	U::X - 12844	0.05427847	7.06E-10
U::X - 11444	U::X - 12844	0.066350439	4.75E-14
P::X - 18913	U::X - 12845	0.051848767	3.90E-09
P::X - 12846	U::X - 12846	0.087671381	2.22E-16
U::X - 11444	U::X - 12846	0.061837065	2.14E-12
P::thymol sulfate	U::X - 12847	0.068227497	8.88E-15
P::X - 12847	U::X - 12847	0.15460244	2.22E-16
P::X - 17690	U::X - 12847	0.072504024	2.22E-16
U::thymol sulfate	U::X - 12847	0.132876387	2.22E-16
P::piperine	U::X - 12848	0.048304054	4.12E-08
P::X - 11452	U::X - 12848	0.054277522	7.06E-10
P::X - 11485	U::X - 12848	0.056650995	1.24E-10
P::X - 12231	U::X - 12848	0.056297515	1.61E-10
U::X - 01911	U::X - 12848	0.071191822	4.44E-16
U::X - 11452	U::X - 12848	0.072570679	2.22E-16
U::X - 11485	U::X - 12848	0.073023791	2.22E-16
U::X - 12231	U::X - 12848	0.068059629	1.04E-14
U::X - 12832	U::X - 12848	0.05844228	3.17E-11
P::X - 12850	U::X - 12850	0.113767717	2.22E-16
U::glycocholate	U::X - 12850	0.063375759	6.02E-13
U::acetylcarnitine	U::X - 12855	0.059027107	2.01E-11
U::carnitine	U::X - 12855	0.050142295	1.24E-08
U::propionylcarnitine	U::X - 12855	0.053096192	1.64E-09
U::X - 12465	U::X - 12855	0.09304999	2.22E-16
U::X - 12855	U::X - 12860	0.051423903	5.21E-09
U::2-isopropylmalate	U::X - 12906	0.059519172	1.37E-11
U::4-hydroxymandelate	U::X - 12906	0.063616625	4.92E-13
U::N-acetylproline	U::X - 12906	0.056254687	1.66E-10
P::glycolithocholate sulfate*	U::X - 13429	0.048961685	2.69E-08
P::X - 11529	U::X - 13429	0.057835388	5.05E-11
P::X - 13429	U::X - 13429	0.108873074	2.22E-16
U::glycolithocholate sulfate*	U::X - 13429	0.072718962	2.22E-16
U::X - 11529	U::X - 13429	0.087773891	2.22E-16
P::X - 13431	U::X - 13431	0.108683671	2.22E-16
U::decanoylcarnitine	U::X - 13431	0.052296518	2.86E-09
P::X - 17299	U::X - 13462	0.049411471	2.01E-08
P::X - 13553	U::X - 13553	0.124932653	2.22E-16
U::vanillylmandelate (VMA)	U::X - 13553	0.058205724	3.80E-11
U::X - 12707	U::X - 13553	0.081294391	2.22E-16
U::X - 12713	U::X - 13553	0.088237476	2.22E-16
U::alpha-CEHC glucuronide*	U::X - 13689	0.078455307	2.22E-16
U::X - 12435	U::X - 13689	0.089529745	2.22E-16
U::X - 13688	U::X - 13693	0.060527723	6.16E-12
U::4-acetylphenol sulfate	U::X - 13695	0.048857569	2.88E-08
U::X - 12093	U::X - 13698	0.048981057	2.66E-08
U::X - 12125	U::X - 13698	0.050308142	1.11E-08
U::X - 12252	U::X - 13698	0.048900264	2.80E-08
U::X - 12760	U::X - 13709	0.097732292	2.22E-16
U::X - 12189	U::X - 13723	0.055824809	2.29E-10
U::X - 12263	U::X - 13723	0.105325612	2.22E-16
P::3-hydroxyhippurate	U::X - 13724	0.073215147	2.22E-16
U::3-hydroxyhippurate	U::X - 13724	0.077419232	2.22E-16
U::X - 12543	U::X - 13724	0.072061911	2.22E-16
P::4-methylcatechol sulfate	U::X - 13726	0.129371516	2.22E-16
P::p-cresol sulfate	U::X - 13726	0.049850682	1.50E-08
U::4-methylcatechol sulfate	U::X - 13726	0.144819952	2.22E-16
U::p-cresol sulfate	U::X - 13726	0.060514401	6.23E-12
U::X - 11837	U::X - 13726	0.064559636	2.22E-13
P::X - 13727	U::X - 13727	0.144952414	2.22E-16
U::X - 12410	U::X - 13727	0.067956833	1.15E-14
P::theobromine	U::X - 13728	0.050192038	1.20E-08
P::X - 13728	U::X - 13728	0.052508862	2.47E-09
U::1,7-dimethylurate	U::X - 13728	0.056038135	1.95E-10
U::1-methylurate	U::X - 13728	0.053920593	9.12E-10
U::1-methylxanthine	U::X - 13728	0.061983138	1.90E-12
U::5-acetylamino-6-amino-3-methyluracil	U::X - 13728	0.056000783	2.01E-10
U::5-acetylamino-6-formylamino-3-methyluracil	U::X - 13728	0.048348472	4.01E-08
U::7-methylxanthine	U::X - 13728	0.063149326	7.27E-13
U::X - 12687	U::X - 13729	0.057059573	9.10E-11
P::1,2-propanediol	U::X - 13730	0.059832469	1.07E-11
U::1,2-propanediol	U::X - 13730	0.060885507	4.63E-12
U::vanillate	U::X - 13730	0.118885897	2.22E-16
U::X - 12328	U::X - 13730	0.115607094	2.22E-16
U::X - 12270	U::X - 13735	0.0732626	2.22E-16
U::X - 12834	U::X - 13735	0.078981673	2.22E-16
U::azelate (nonanedioate)	U::X - 13772	0.062899536	8.95E-13
P::3-methylhistidine	U::X - 13835	0.049297333	2.16E-08
P::X - 13835	U::X - 13835	0.064030914	3.47E-13
U::3-methylhistidine	U::X - 13835	0.063320686	6.31E-13
U::3-hydroxyphenylacetate	U::X - 13836	0.084229367	2.22E-16
P::X - 11261	U::X - 13837	0.05443977	6.28E-10
U::X - 12259	U::X - 13842	0.055614529	2.67E-10
P::X - 12734	U::X - 13843	0.075515504	2.22E-16
P::X - 16940	U::X - 13843	0.088138471	2.22E-16
U::benzene-1,2,3-triol	U::X - 13843	0.079475141	2.22E-16
P::trigonelline (N'-methylnicotinate)	U::X - 13844	0.086027461	2.22E-16
U::trigonelline (N'-methylnicotinate)	U::X - 13844	0.102795857	2.22E-16
P::X - 12407	U::X - 13846	0.055719967	2.47E-10
U::N-methylglutamate	U::X - 13847	0.060999482	4.22E-12
P::X - 13866	U::X - 13866	0.079425502	2.22E-16
U::3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	U::X - 13866	0.059054943	1.97E-11
U::X - 02249	U::X - 13866	0.061294842	3.33E-12
P::trigonelline (N'-methylnicotinate)	U::X - 14082	0.048655173	3.29E-08
U::trigonelline (N'-methylnicotinate)	U::X - 14082	0.050451874	1.01E-08
U::X - 12234	U::X - 14318	0.098483801	2.22E-16
U::X - 12682	U::X - 14331	0.049318067	2.13E-08
U::X - 12234	U::X - 14352	0.109886861	2.22E-16
U::X - 14318	U::X - 14352	0.133208389	2.22E-16
U::pyroglutamylvaline	U::X - 14445	0.09285981	2.22E-16
U::X - 14302	U::X - 14445	0.053655678	1.10E-09
U::X - 14314	U::X - 14445	0.068325628	8.22E-15
U::quinate	U::X - 14473	0.05759273	6.08E-11
U::X - 11204	U::X - 14588	0.052678717	2.19E-09
P::X - 11438	U::X - 14596	0.054090203	8.08E-10
U::X - 12760	U::X - 14596	0.068183568	9.33E-15
U::X - 13834	U::X - 14596	0.054391085	6.51E-10
U::3-sialyllactose	U::X - 14625	0.049205487	2.30E-08
P::X - 13727	U::X - 14665	0.076861011	2.22E-16
U::X - 12410	U::X - 14665	0.050785749	8.04E-09
U::X - 13727	U::X - 14665	0.096629037	2.22E-16
P::3-methylhistidine	U::X - 14838	0.087075858	2.22E-16
P::X - 13835	U::X - 14838	0.068210921	9.10E-15
U::1-methylimidazoleacetate	U::X - 14838	0.08973843	2.22E-16
U::3-methylhistidine	U::X - 14838	0.1170544	2.22E-16
U::X - 11332	U::X - 14838	0.090636229	2.22E-16
U::X - 13835	U::X - 14838	0.067289807	2.09E-14
U::X - 15375	U::X - 15382	0.07782573	2.22E-16
U::5-aminovalerate	U::X - 15461	0.085051342	2.22E-16
U::X - 12685	U::X - 15461	0.102378274	2.22E-16
U::citramalate	U::X - 15472	0.05125903	5.84E-09
U::X - 13529	U::X - 15472	0.073323458	2.22E-16
U::X - 15382	U::X - 15484	0.15721518	2.22E-16
P::X - 11261	U::X - 15486	0.066175435	5.53E-14
P::X - 11521	U::X - 15486	0.058047265	4.29E-11
P::X - 14939	U::X - 15486	0.062719917	1.04E-12
U::X - 13837	U::X - 15486	0.062432741	1.32E-12
U::X - 11444	U::X - 15492	0.053231714	1.49E-09
P::X - 15636	U::X - 15636	0.140687375	2.22E-16
U::X - 12212	U::X - 15636	0.076652139	2.22E-16
U::X - 13688	U::X - 15636	0.05902083	2.02E-11
U::gamma-CEHC glucuronide*	U::X - 15646	0.064315497	2.73E-13
P::alanine	U::X - 15678	0.049686196	1.68E-08
U::X - 15375	U::X - 15678	0.064323928	2.71E-13
P::X - 15728	U::X - 15728	0.131558367	2.22E-16
P::X - 02249	U::X - 16087	0.110462876	2.22E-16
U::X - 12385	U::X - 16397	0.058949034	2.14E-11
P::N-acetylglycine	U::X - 16563	0.049095339	2.47E-08
U::2-methylbutyrylglycine	U::X - 16563	0.050605458	9.08E-09
U::X - 13864	U::X - 16564	0.082542963	2.22E-16
U::X - 16563	U::X - 16567	0.067129264	2.40E-14
P::X - 11261	U::X - 16570	0.059098274	1.90E-11
P::X - 11478	U::X - 16570	0.055352621	3.24E-10
U::X - 15486	U::X - 16570	0.058060721	4.25E-11
U::X - 12101	U::X - 16580	0.072336467	2.22E-16
U::X - 16397	U::X - 16580	0.09022073	2.22E-16
P::X - 13866	U::X - 16581	0.049418135	2.00E-08
U::X - 11491	U::X - 16654	0.057683075	5.67E-11
P::2-hydroxydecanoic acid	U::X - 16674	0.080088685	2.22E-16
U::3-hydroxysebacate	U::X - 16674	0.054129982	7.85E-10
U::azelate (nonanedioate)	U::X - 16674	0.078958379	2.22E-16
U::pimelate (heptanedioate)	U::X - 16674	0.068607481	6.44E-15
U::X - 13772	U::X - 16674	0.055109634	3.87E-10
P::urate	U::X - 16774	0.072448162	2.22E-16
U::glycocholate	U::X - 16803	0.085442516	2.22E-16
P::X - 11858	U::X - 16933	0.056697653	1.19E-10
P::X - 17656	U::X - 16933	0.078146849	2.22E-16
U::X - 11858	U::X - 16933	0.058871949	2.27E-11
U::X - 13695	U::X - 16933	0.060609429	5.77E-12
P::X - 12734	U::X - 16940	0.074755632	2.22E-16
P::X - 16940	U::X - 16940	0.075823384	2.22E-16
U::benzene-1,2,3-triol	U::X - 16940	0.06579857	7.68E-14
U::X - 13843	U::X - 16940	0.107862805	2.22E-16
U::X - 12007	U::X - 16975	0.052663558	2.22E-09
U::X - 12113	U::X - 16975	0.059273781	1.66E-11
U::X - 12211	U::X - 16975	0.094442787	2.22E-16
U::X - 12379	U::X - 16975	0.07851502	2.22E-16
P::X - 11261	U::X - 17138	0.059559142	1.33E-11
P::X - 11521	U::X - 17138	0.053905391	9.22E-10
P::X - 14939	U::X - 17138	0.064959413	1.58E-13
U::X - 13837	U::X - 17138	0.077692538	2.22E-16
U::X - 15486	U::X - 17138	0.09084273	2.22E-16
P::4-vinylphenol sulfate	U::X - 17185	0.048306222	4.12E-08
P::X - 17185	U::X - 17185	0.143227701	2.22E-16
U::4-vinylphenol sulfate	U::X - 17185	0.0633452	6.18E-13
U::X - 12230	U::X - 17185	0.052201962	3.05E-09
U::X - 12833	U::X - 17185	0.049144656	2.39E-08
P::X - 17299	U::X - 17299	0.050078828	1.29E-08
U::3-methylcytidine	U::X - 17299	0.051553175	4.77E-09
U::citrate	U::X - 17299	-0.054526363	5.90E-10
U::X - 16394	U::X - 17299	0.053933249	9.04E-10
P::4-hydroxyphenylacetate	U::X - 17305	0.053150397	1.57E-09
U::4-hydroxyphenylacetate	U::X - 17305	0.126909433	2.22E-16
U::X - 12715	U::X - 17305	0.141463868	2.22E-16
U::X - 12211	U::X - 17308	0.07376294	2.22E-16
U::X - 16975	U::X - 17308	0.094511431	2.22E-16
U::X - 12760	U::X - 17310	0.069304104	3.55E-15
U::X - 13709	U::X - 17310	0.048944878	2.72E-08
U::X - 13837	U::X - 17310	0.06596073	6.66E-14
U::hippurate	U::X - 17314	0.055235065	3.53E-10
U::5-hydroxymethyl-2-furoic acid	U::X - 17320	0.062302444	1.46E-12
U::mesaconate (methylfumarate)	U::X - 17320	0.05029166	1.12E-08
U::o-cresol sulfate	U::X - 17320	0.051673315	4.40E-09
P::X - 13866	U::X - 17322	0.050378121	1.06E-08
U::X - 16581	U::X - 17322	0.068061783	1.04E-14
P::10-undecenoate (11:1n1)	U::X - 17324	0.071355769	4.44E-16
U::X - 13864	U::X - 17325	0.070745423	8.88E-16
U::X - 16564	U::X - 17325	0.131403803	2.22E-16
U::X - 12636	U::X - 17327	0.071037822	6.66E-16
U::X - 12637	U::X - 17327	0.071461827	4.44E-16
U::X - 12739	U::X - 17327	0.056838393	1.07E-10
U::X - 12742	U::X - 17327	0.061038418	4.09E-12
U::thymol sulfate	U::X - 17328	0.07244541	2.22E-16
P::gamma-CEHC	U::X - 17330	0.096629729	2.22E-16
U::alpha-CEHC glucuronide*	U::X - 17330	0.071863112	4.44E-16
U::gamma-CEHC glucuronide*	U::X - 17330	0.161065085	2.22E-16
U::X - 15646	U::X - 17330	0.055940185	2.10E-10
U::X - 16947	U::X - 17334	0.156271076	2.22E-16
U::X - 12385	U::X - 17335	0.074295729	2.22E-16
U::X - 16397	U::X - 17335	0.049703893	1.66E-08
P::X - 12844	U::X - 17336	0.069401661	3.11E-15
P::X - 17336	U::X - 17336	0.055508943	2.89E-10
U::X - 11444	U::X - 17336	0.057779074	5.27E-11
U::X - 12844	U::X - 17336	0.078514038	2.22E-16
U::2-methylbutyrylcarnitine (C5)	U::X - 17337	0.057109828	8.76E-11
U::3-dehydrocarnitine*	U::X - 17337	0.050176431	1.21E-08
U::acetylcarnitine	U::X - 17337	0.056669834	1.22E-10
U::carnitine	U::X - 17337	0.061572275	2.66E-12
U::isovalerylcarnitine	U::X - 17337	0.048843837	2.91E-08
U::propionylcarnitine	U::X - 17337	0.053832958	9.71E-10
U::X - 17324	U::X - 17337	0.070981102	8.88E-16
U::X - 15492	U::X - 17339	0.054774637	4.93E-10
U::X - 17336	U::X - 17339	0.055617449	2.66E-10
P::X - 17706	U::X - 17340	0.062871134	9.16E-13
U::X - 15492	U::X - 17340	0.06701161	2.66E-14
U::X - 17339	U::X - 17340	0.053757753	1.02E-09
U::X - 15492	U::X - 17341	0.096081341	2.22E-16
U::X - 17339	U::X - 17341	0.058939469	2.16E-11
U::X - 17340	U::X - 17341	0.068966682	4.66E-15
U::4-hydroxymandelate	U::X - 17342	0.080672349	2.22E-16
U::X - 12707	U::X - 17342	0.060776319	5.05E-12
U::X - 12906	U::X - 17342	0.053328065	1.39E-09
U::N-acetylaspartate (NAA)	U::X - 17345	0.051445203	5.14E-09
U::pimelate (heptanedioate)	U::X - 17346	0.053873933	9.43E-10
P::X - 12734	U::X - 17347	0.07378775	2.22E-16
P::X - 16940	U::X - 17347	0.083188065	2.22E-16
U::benzene-1,2,3-triol	U::X - 17347	0.066998499	2.69E-14
U::X - 13843	U::X - 17347	0.100938108	2.22E-16
U::X - 16940	U::X - 17347	0.102237298	2.22E-16
U::X - 16947	U::X - 17350	0.127338045	2.22E-16
U::X - 17334	U::X - 17350	0.128564852	2.22E-16
P::indolepropionate	U::X - 17351	0.138124968	2.22E-16
U::cinnamoylglycine	U::X - 17351	0.051663992	4.43E-09
U::X - 12283	U::X - 17351	0.210106516	2.22E-16
U::X - 12849	U::X - 17353	0.122837982	2.22E-16
U::X - 11640	U::X - 17354	0.110015621	2.22E-16
U::X - 12188	U::X - 17354	0.083549547	2.22E-16
P::X - 12844	U::X - 17357	0.056110166	1.85E-10
P::X - 17357	U::X - 17357	0.082383768	2.22E-16
U::X - 11444	U::X - 17357	0.052898453	1.88E-09
U::X - 12844	U::X - 17357	0.071723972	4.44E-16
U::X - 17336	U::X - 17357	0.060650533	5.59E-12
U::X - 17339	U::X - 17357	0.050541638	9.48E-09
U::X - 16947	U::X - 17358	0.12291305	2.22E-16
U::X - 17334	U::X - 17358	0.118119238	2.22E-16
U::X - 17350	U::X - 17358	0.114239062	2.22E-16
U::X - 11444	U::X - 17359	0.057004157	9.49E-11
U::X - 12844	U::X - 17359	0.053307881	1.41E-09
U::X - 15492	U::X - 17359	0.058851092	2.31E-11
U::X - 17339	U::X - 17359	0.096253797	2.22E-16
U::X - 17340	U::X - 17359	0.049509789	1.88E-08
U::X - 17341	U::X - 17359	0.053916824	9.14E-10
U::X - 17357	U::X - 17359	0.055805359	2.32E-10
U::X - 12849	U::X - 17361	0.171492445	2.22E-16
U::X - 17353	U::X - 17361	0.122538872	2.22E-16
U::pyroglutamylglutamine	U::X - 17365	0.078749825	2.22E-16
U::pyruvate	U::X - 17365	0.059403582	1.50E-11
U::X - 12107	U::X - 17365	0.055452476	3.01E-10
U::X - 12119	U::X - 17365	0.06826577	8.66E-15
U::X - 12753	U::X - 17365	0.084953452	2.22E-16
U::hippurate	U::X - 17367	0.05395809	8.88E-10
U::X - 13864	U::X - 17367	0.087523583	2.22E-16
U::X - 16564	U::X - 17367	0.107497202	2.22E-16
U::X - 17325	U::X - 17367	0.106892086	2.22E-16
U::X - 12830	U::X - 17370	0.166318764	2.22E-16
P::3-indoxyl sulfate	U::X - 17393	0.068833689	5.33E-15
P::X - 12405	U::X - 17393	0.057130436	8.63E-11
U::3-indoxyl sulfate	U::X - 17393	0.07829802	2.22E-16
U::X - 12405	U::X - 17393	0.074512886	2.22E-16
P::4-vinylphenol sulfate	U::X - 17398	0.055479121	2.95E-10
P::X - 17185	U::X - 17398	0.094356794	2.22E-16
U::4-vinylphenol sulfate	U::X - 17398	0.052981899	1.77E-09
U::X - 17185	U::X - 17398	0.105345783	2.22E-16
P::2-hydroxydecanoic acid	U::X - 17438	0.089678241	2.22E-16
U::X - 16674	U::X - 17438	0.086748585	2.22E-16
P::X - 17612	U::X - 17612	0.063365885	6.07E-13
P::X - 12734	U::X - 17673	0.072244323	2.22E-16
P::X - 16940	U::X - 17673	0.080367225	2.22E-16
U::benzene-1,2,3-triol	U::X - 17673	0.079333348	2.22E-16
U::X - 13843	U::X - 17673	0.097546467	2.22E-16
U::X - 16940	U::X - 17673	0.089280058	2.22E-16
U::X - 17347	U::X - 17673	0.099969124	2.22E-16
P::X - 17682	U::X - 17682	0.10623115	2.22E-16
P::X - 12734	U::X - 17685	0.089898811	2.22E-16
P::X - 16940	U::X - 17685	0.054741889	5.05E-10
U::benzene-1,2,3-triol	U::X - 17685	0.059492971	1.40E-11
U::X - 13843	U::X - 17685	0.07111251	6.66E-16
U::X - 16940	U::X - 17685	0.076918692	2.22E-16
U::X - 17347	U::X - 17685	0.079546944	2.22E-16
U::X - 17673	U::X - 17685	0.065172214	1.32E-13
P::indoleacetate	U::X - 17688	0.139471141	2.22E-16
U::indoleacetate	U::X - 17688	0.103706076	2.22E-16
U::indoleacetylglutamine	U::X - 17688	0.085130909	2.22E-16
U::X - 12745	U::X - 17688	0.092473007	2.22E-16
U::X - 11452	U::X - 17692	0.053478778	1.25E-09
U::X - 11485	U::X - 17692	0.04897971	2.66E-08
U::X - 12231	U::X - 17692	0.0503858	1.05E-08
U::X - 12840	U::X - 17692	0.059653197	1.23E-11
U::X - 17370	U::X - 17692	0.054702734	5.20E-10
P::X - 11549	U::X - 17695	0.069886877	2.00E-15
U::X - 13693	U::X - 17695	0.053331345	1.39E-09
U::X - 17346	U::X - 17695	0.080849114	2.22E-16
U::X - 17693	U::X - 17695	0.093564701	2.22E-16
U::X - 12819	U::X - 17699	0.066947906	2.80E-14
U::X - 16567	U::X - 17699	0.067873694	1.24E-14
U::X - 13700	U::X - 17701	0.078982974	2.22E-16
U::X - 16570	U::X - 17701	0.052621895	2.28E-09
U::X - 12846	U::X - 17703	0.057826449	5.08E-11
U::X - 12814	U::X - 17704	0.06157569	2.65E-12
U::X - 12831	U::X - 17704	0.055034153	4.08E-10
U::X - 12845	U::X - 17704	0.060150647	8.32E-12
P::glycoursodeoxycholate	U::X - 17705	0.104731956	2.22E-16
P::X - 17706	U::X - 17706	0.056196991	1.74E-10
U::X - 12844	U::X - 17706	0.051516356	4.90E-09
U::X - 12846	U::X - 17706	0.049907256	1.45E-08
U::X - 15492	U::X - 17706	0.07517818	2.22E-16
U::X - 17339	U::X - 17706	0.050513383	9.66E-09
U::X - 17340	U::X - 17706	0.088015443	2.22E-16
U::X - 17341	U::X - 17706	0.066228534	5.28E-14
U::X - 17359	U::X - 17706	0.057364215	7.23E-11
U::X - 12170	U::X - 17715	0.060965798	4.34E-12
